Timestamp, Frame Sequence, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
864877, 75649, 32.74324, 0.0390625, -29.68175, -0.002059937, -0.04632568, 0.9989166, 2.593613, 1, -32.16313, -1.811981, -30.98529, 0.01777649, -0.04005432, 0.9990387, 2.660934, 1
864885, 75650, 32.71716, 0.04957581, -29.6311, -0.002456665, -0.03608704, 0.9993439, 2.533463, 1, -32.20773, -1.722641, -31.3325, 0.01899719, -0.03645325, 0.9991455, 2.578491, 1
864894, 75651, 32.59258, 0.05906677, -29.65077, -0.03419495, -0.04663086, 0.9983215, 2.56456, 1, -32.33195, -1.708145, -31.45078, -0.0188446, -0.02339172, 0.9995422, 2.570831, 1
864910, 75653, 32.00006, -0.08634949, -28.89902, -0.1244354, -0.03860474, 0.9914703, 2.756989, 0.9495431, -32.77856, -1.784546, -30.96384, -0.1173248, -0.05807495, 0.9913788, 2.671036, 0.9518462
864919, 75654, 31.70129, 1.525879E-05, -28.89882, -0.1869965, -0.02676392, 0.9819794, 2.740326, 0.9495431, -32.96405, -1.793411, -30.99023, -0.1911469, -0.1026154, 0.9761658, 2.370071, 0.9518462
864927, 75655, 31.30994, 0.0003814697, -28.74364, -0.235733, -0.02445984, 0.9714966, 2.682343, 0.8784567, -33.24387, -1.844879, -31.08701, -0.2290192, -0.08239746, 0.9699097, 2.360825, 0.803202
864944, 75657, 30.56529, 0.1677551, -29.27547, 0, 0, 0, -1, 0.7922896, -33.17543, -2.703049, -31.21025, 0, 0, 0, -1, 0.6728612
864952, 75658, 30.36414, 0.1856995, -29.38672, 0, 0, 0, -1, 0.7922896, -33.17543, -2.703049, -31.21025, 0, 0, 0, -1, 0.6728612
864968, 75660, 30.48531, -0.924408, -29.47163, 0, 0, 0, -1, 0.6804147, -33.17543, -2.703049, -31.21025, 0, 0, 0, -1, 0.5368558
864977, 75661, 30.48531, -0.924408, -29.47163, 0, 0, 0, -1, 0.5198178, -33.17543, -2.703049, -31.21025, 0, 0, 0, -1, 0.4095757
864985, 75662, 30.48531, -0.924408, -29.47163, 0, 0, 0, -1, 0.5198178, -33.17543, -2.703049, -31.21025, 0, 0, 0, -1, 0.4095757
865002, 75664, 30.48531, -0.924408, -29.47163, 0, 0, 0, -1, 0.4669855, -33.17543, -2.703049, -31.21025, 0, 0, 0, -1, 0.3442901
865010, 75665, 30.48531, -0.924408, -29.47163, 0, 0, 0, -1, 0.4467933, -33.17543, -2.703049, -31.21025, 0, 0, 0, -1, 0.2792922
865027, 75667, 29.3047, 0.1944275, -29.90511, 0, 0, 0, -1, 0.4681635, -33.17543, -2.703049, -31.21025, 0, 0, 0, -1, 0.3134053
865035, 75668, 29.19983, 0.2570038, -29.80534, 0, 0, 0, -1, 0.4681635, -33.17543, -2.703049, -31.21025, 0, 0, 0, -1, 0.3134053
865043, 75669, 29.15105, 0.2275696, -29.86794, 0, 0, 0, -1, 0.5350311, -33.17543, -2.703049, -31.21025, 0, 0, 0, -1, 0.4351803
865060, 75671, 29.03596, 0.1162109, -29.93005, 0, 0, 0, -1, 0.6617882, -35.31685, -1.739868, -32.24544, 0, 0, 0, -1, 0.5332077
