Timestamp, Left pupil_Diameter_mm, Right pupil_diameter_mm
867743, 2.671234, 2.735962
867759, 2.64241, 2.735947
867768, 2.664413, 2.737106
867776, 2.660782, 2.739273
867793, 2.712997, 2.744858
867801, 2.699524, 2.748123
867809, 2.714874, 2.755615
867826, 2.662857, 2.742432
867834, 2.746216, 2.8508
867843, 2.85997, 2.841904
867859, 2.710083, 2.808548
867868, 2.703888, 2.822021
867876, 2.710907, 2.80867
867893, 2.710846, 2.835617
867901, 2.740051, 2.8237
867909, 2.745346, 2.813766
867926, 2.727219, 2.8367
867934, 2.787994, 2.883087
867943, 2.721924, 2.954575
867959, 2.705124, 2.887039
867968, 2.727615, 2.827393
867976, 2.843872, 2.821121
867993, 2.802124, 2.867661
868001, 2.802917, 2.831589
868009, 2.705215, 2.849503
868026, 2.734848, 2.839188
868034, 2.790451, 2.948013
868043, 2.790482, 2.8591
868059, 2.818253, 2.860931
868068, 2.757507, 2.759521
868076, 2.795609, 2.791245
868093, 2.813889, 2.935638
868101, 2.831924, 2.953186
868109, 2.779388, 2.778336
868126, 2.654922, 2.705841
868134, 2.646835, 2.875244
868143, 2.798798, 2.783524
868159, 2.641815, 2.66629
868168, 2.775085, 2.796265
868176, 2.597, 2.807632
868193, 2.624725, 2.709183
868201, 2.630386, 2.693726
868209, 2.637207, 2.749741
868226, 2.652451, 2.749664
868234, 2.654648, 2.722183
868243, 2.65242, 2.74556
868259, 2.652054, 2.764694
868268, 2.699707, 2.760025
868276, 2.622314, 2.76442
868293, 2.711151, 2.775772
868301, 2.674179, 2.826523
868309, 2.699326, 2.863617
868326, 2.701172, 2.820129
868334, 2.701874, 2.841003
868343, 2.764801, 2.819962
868359, 2.764053, 2.824478
868368, 2.724045, 2.834015
868376, 2.656662, 2.824753
868393, 2.765289, 2.889282
868401, 2.726227, 2.922653
868409, 2.736465, 2.884216
868426, 2.715836, 2.8172
868434, 2.824097, 2.949768
868443, 2.798187, 2.826569
868459, 2.789551, 2.799606
868468, 2.736603, 2.812515
868476, 2.658264, 2.874069
868493, 2.781067, 2.771851
868501, 2.909363, 2.711151
868509, 2.891373, 2.687775
868518, 2.910202, 2.733643
868534, 2.932983, 2.808762
868543, 2.80603, 2.788834
868559, 2.762131, 2.807526
868568, 2.83252, 2.942627
868576, 2.853577, 2.696518
868593, 2.800674, 2.781525
868601, 3.008575, 2.658813
868609, 2.948959, 2.580978
868626, -1, 1.823853
868634, -1, -1
868643, -1, -1
868659, -1, -1
868668, -1, -1
868676, -1, -1
868693, -1, -1
868701, -1, -1
868709, -1, -1
868726, -1, -1
868734, -1, -1
868743, -1, -1
868759, -1, -1
868768, -1, -1
868776, -1, -1
868793, -1, -1
868801, -1, -1
868809, 2.964966, 3.115433
868826, 2.98201, 3.064331
868834, 2.948486, 3.032196
868843, 3.017899, 3.004898
868859, 2.939819, 3.133118
868868, 2.93187, 3.216721
868876, 3.03154, 3.170807
868893, 2.96727, 3.080643
868901, 2.960251, 3.1586
868909, 2.921112, 3.112579
868926, 2.982269, 3.074417
868934, 2.9664, 3.160645
868943, 2.952332, 3.172333
868959, 3.050812, 3.170151
868968, 3.102997, 3.177582
868976, 3.112885, 3.243973
868993, 3.122894, 3.149948
869001, 3.034714, 3.187622
869009, 3.065399, 3.256912
869026, 2.960983, 3.183136
869034, 3.093658, 3.188812
869043, 2.974167, 3.131226
869059, 3.00737, 3.263
869068, 2.919403, 3.33194
869076, 3.113297, 3.289734
869093, 3.113312, 3.212799
869101, 3.14711, 3.051804
869109, 3.158813, 3.124008
869126, 2.941681, 3.135086
869134, 2.971207, 3.187988
869143, 3.018723, 3.220032
869159, 3.083679, 3.179932
869168, 3.071045, 3.213303
869176, 2.997864, 3.217621
869193, 2.983505, 3.123138
869201, 2.916565, 3.122849
869209, 3.043182, 3.175095
869226, 3.009064, 3.064621
869234, 2.946808, 3.082809
869243, 3.028656, 3.104828
869259, 2.935776, 3.1772
869268, 2.993607, 3.221817
869276, 2.873032, 3.165848
869293, 2.933746, 3.145462
869301, 3.077377, 3.083755
869309, 3.060776, 3.187012
869326, 2.887711, 3.145721
869334, 3.043228, 3.081421
869343, 3.0681, 2.932968
869351, 2.905304, 2.905243
869368, 2.896698, 3.12767
869376, 2.907471, 3.103058
869384, 2.937561, 3.11937
869401, 2.870667, 3.051895
869409, 2.960587, 3.065552
869418, 2.940826, 3.098312
869434, 2.970016, 3.072571
869443, 2.807632, 3.177322
869451, 2.850845, 3.141922
869468, 2.903976, 3.087189
869476, 2.906525, 3.039078
869484, 2.86412, 2.962479
869501, 2.869568, 2.992828
869509, 2.824844, 3.070831
869518, 2.843658, 2.995773
869534, 2.87973, 2.925888
869543, 2.882507, 2.929901
869551, 2.861526, 2.978165
869568, 2.853836, 2.937027
869576, 2.898514, 2.987564
869584, 2.923279, 3.073944
869601, 2.930267, 3.067291
869609, 2.848862, 3.029999
869618, 3.016464, 3.076462
869634, 2.91893, 3.052292
869643, 2.937271, 3.028214
869651, 2.928558, 3.046082
869668, 2.928925, 3.088898
869676, 2.947861, 2.997726
869684, 2.889008, 3.031738
869701, 2.855988, 3.089325
869709, 2.898666, 3.13385
869726, 2.960373, 3.104828
869734, 2.912842, 3.065491
869742, 2.867966, 3.111816
869751, 2.9142, 3.190536
869767, 2.904556, 3.165161
869776, 3.003281, 3.17363
869784, 2.964203, 3.12587
869801, 2.845474, 3.108353
869809, 2.904907, 3.0056
869817, 2.87915, 3.122543
869834, 2.886932, 3.067368
869842, 2.901825, 3.11705
869851, 2.860626, 3.037582
869867, 2.986618, 2.962814
869876, 2.960602, 3.056534
869884, 2.917572, 3.11084
869901, 2.967453, 2.939941
869909, 2.969086, 3.079315
869917, 2.990311, 2.99411
869934, 3.031494, 3.083313
869942, 3.102829, 3.087646
869951, 3.12706, 3.167786
869967, 3.016083, 3.187363
869976, 3.095474, 3.26416
869984, 3.055939, 3.211807
870001, 3.029922, 3.242676
870009, 2.984192, 3.26152
870017, 2.94046, 3.215866
870034, 2.943329, 3.256973
870042, 2.946945, 3.258728
870051, 2.940811, 3.255051
870067, 2.990219, 3.254074
870076, 2.942459, 3.251602
870084, 2.917862, 3.247238
870101, 2.97435, 3.246994
870109, 2.938828, 3.251556
870117, 3.128586, 3.247269
870134, 3.05574, 3.237152
870142, 3.061188, 3.242294
870151, 3.057281, 3.236038
870167, 3.05629, 3.228989
870176, 3.060333, 3.227005
870184, 3.054367, 3.224533
870201, 3.104477, 3.216766
870209, 3.115524, 3.216843
870217, 3.068176, 3.213028
870234, 3.068878, 3.207321
870242, 3.052673, 3.206055
870251, 3.044174, 3.206436
870267, 2.943909, 3.121994
870276, 2.965012, 3.216751
870284, 2.878021, 3.285843
870301, 2.835663, 3.236572
870309, 2.839127, 3.127167
870317, 2.899872, 3.203522
870334, 2.90506, 3.152557
870342, 2.924408, 3.210251
870359, 2.875046, 3.164093
870367, 2.883133, 3.162598
870376, 2.927078, 3.153824
870384, 2.867645, 3.145187
870401, 2.934006, 3.09024
870409, 2.826889, 3.086853
